fecha,Precios al Consumidor (INPC),Subyacente,"Subyacente, Mercancias","Subyacente, Servicios","Subyacente, Servicios, Vivienda","Subyacente, Servicios, Educacion (colegiaturas)","Subyacente, Servicios, Otros servicios",No subyacente,"No subyacente, Agropecuarios","No subyacente, Agropecuarios, Frutas y verduras","No subyacente, Agropecuarios, Pecuarios","No subyacente, Energeticos y tarifas autorizadas por el gobierno","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Energeticos","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"
01/01/2000,44.80927026,48.80116016,47.99206941,48.9732209,54.65794077,31.65099757,49.89328994,33.97664235,35.86655407,36.46727022,35.45243934,32.44890299,29.2420289,38.99326548
15/01/2000,45.05224634,49.1371793,48.27705051,49.36596191,55.00413342,32.15253063,50.2945161,34.01775419,35.44679857,35.39689028,35.44726432,32.85700683,29.20786719,40.15738123
01/02/2000,45.27254714,49.41320941,48.55376732,49.63653648,55.30678848,32.18385019,50.61427131,34.11255378,35.33670664,34.62621773,35.75781782,33.11491194,29.57293452,40.24495753
15/02/2000,45.38607009,49.60272707,48.7490206,49.81587838,55.47793948,32.20169399,50.8521125,34.06664354,35.14557631,33.9927574,35.84845868,33.1846808,29.59288815,40.40073846
01/03/2000,45.53044942,49.75694777,48.92709874,49.93837823,55.61977059,32.20442394,50.99636191,34.1819987,35.02513069,33.44373428,36.00096651,33.48774286,30.0016753,40.53750759
15/03/2000,45.6310557,49.89939359,49.0732288,50.07394136,55.79753694,32.2129217,51.13663057,34.19184048,35.02082746,33.48305301,35.96889585,33.5088427,30.00355725,40.59157992
01/04/2000,45.78634268,50.0473203,49.19932487,50.2460596,55.99304348,32.2129217,51.34370325,34.35273535,35.19150782,34.11388379,35.84647799,33.66183734,30.21454715,40.65287754
15/04/2000,45.89369403,50.13264605,49.27124822,50.34632902,56.12554507,32.22290384,51.44544024,34.49741458,35.49620059,34.86137644,35.86900012,33.67899054,30.1730779,40.76890941
01/05/2000,45.96631446,50.26575835,49.42402659,50.45319319,56.29351659,32.30382456,51.50929526,34.44420303,35.77202785,35.20068522,36.10416926,33.36377894,29.61224441,40.8540425
15/05/2000,46.05644359,50.35243508,49.49988946,50.55162913,56.4321365,32.39680487,51.57604103,34.53549896,35.96853042,35.56425392,36.19413826,33.37123086,29.61668132,40.86681656
01/06/2000,46.2299573,50.44560974,49.56447492,50.67816657,56.58070201,32.43247676,51.71307471,34.8590146,36.43632,36.73252966,36.21556126,33.57963562,29.94997541,40.87339554
15/06/2000,46.33788318,50.51034266,49.57934001,50.8027294,56.71259377,32.44511298,51.8671463,35.04682272,36.83034806,37.63890325,36.28306465,33.60309168,29.97956312,40.88741909
01/07/2000,46.4337534,50.59332133,49.63087636,50.92272638,56.80581339,32.47773189,52.03792204,35.16254896,36.79434935,37.64437613,36.2206955,33.8395694,30.34726127,40.91247056
15/07/2000,46.49503568,50.69821387,49.73152565,51.03104759,56.89294018,32.52043892,52.18542793,35.13220398,36.68030156,37.40275997,36.18796282,33.87590282,30.37593916,40.96294494
01/08/2000,46.61587822,50.81090937,49.84144591,51.14524808,56.96184365,32.84556695,52.27325788,35.26184265,36.49706037,36.97809531,36.1585819,34.25462208,30.92150241,41.07565209
15/08/2000,46.82369235,50.90402758,49.91187044,51.26452874,57.04333576,32.9991135,52.41480439,35.68653163,37.3911622,39.50324174,36.01351534,34.30520283,30.91771359,41.21918737
01/09/2000,47.03423352,51.18988884,49.99759722,51.79006927,57.10710623,36.36488652,52.45220295,35.73263743,37.02343541,38.61004277,35.98064687,34.68084036,31.49819893,41.26500126
15/09/2000,47.08790971,51.30852838,50.10064367,51.92577116,57.23633719,36.42790356,52.61699354,35.65285497,36.80897584,38.10523126,35.95122468,34.70836353,31.5116966,41.31702506
01/10/2000,47.29514984,51.45721966,50.16054959,52.18042511,57.3613413,36.42790356,53.06274478,35.96440649,36.91853417,38.60464943,35.81248816,35.18056778,32.26707924,41.33159029
15/10/2000,47.47512162,51.57710539,50.28989285,52.28675347,57.48199982,36.42790356,53.19076709,36.25305436,37.49441042,40.12081966,35.7892325,35.24028387,32.31508265,41.41309029
01/11/2000,47.73216289,51.77101865,50.45361122,52.51430592,57.61889781,36.42790356,53.56769746,36.62042862,37.17204577,39.06853526,35.93184442,36.15669808,33.79261216,41.42200343
